session_dir,infra_error,missing_npcs,experiment_id,config_label,git_sha,builtin_subplans,goals_expected,goals_met,success,first_plan_success,t_success,duration_s,end_reason,llm_calls,llm_s,plan_requests,replans,ladder_advance,n_act,actions_failed,transforms_code,transforms_llm,plan_calls_to_ablated,ablated_loaded,manipulation_ok,primary_cause,signals,subplans_loaded,peer_requests_sent,peer_requests_accepted,peer_requests_refused,peer_transfers,peer_wait_timeouts,arbitrations,max_peer_depth,n_act_by_npc
logs\sessions\20260916\172602,False,,CO5,ATOM,3c435fd,False,1,1,True,False,122.818,126.349,idle,40,94.108,5,3,4,29,7,19,0,0,,True,,action_failures,0,2,2,0,1,3,0,1,"{'npc_miller': 20, 'npc_baker': 9}"
logs\sessions\20260916\172813,False,,CO5,DET,3c435fd,True,1,1,True,True,40.059,44.12,idle,1,4.309,0,0,0,15,0,0,0,0,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,1,1,0,1,0,0,1,"{'npc_miller': 12, 'npc_baker': 3}"
logs\sessions\20260916\172900,False,,CO5,SUB,3c435fd,True,1,1,True,True,55.208,59.639,idle,12,23.889,2,0,2,15,0,3,2,8,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,1,1,0,1,0,0,1,"{'npc_miller': 12, 'npc_baker': 3}"
logs\sessions\20260916\173003,False,,CO6,DET,3c435fd,True,1,1,True,True,40.989,44.074,idle,1,4.456,0,0,0,19,0,0,0,0,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,2,2,0,2,0,1,2,"{'npc_miller': 14, 'npc_baker': 5}"
logs\sessions\20260916\173050,False,,CO6,SUB,3c435fd,True,1,1,True,True,66.242,70.066,idle,16,31.254,3,0,2,20,1,7,2,6,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,action_failures,0,2,2,0,2,0,1,2,"{'npc_miller': 14, 'npc_baker': 6}"
logs\sessions\20260916\173201,False,,CO6,ATOM,3c435fd,False,1,1,True,True,92.634,95.888,idle,23,56.31,3,0,10,26,2,11,0,0,,True,,action_failures,0,4,4,0,2,0,1,2,"{'npc_miller': 18, 'npc_baker': 8}"
logs\sessions\20260916\173340,False,,CO5,DET,3c435fd,True,1,1,True,True,34.921,37.995,idle,1,4.321,0,0,0,15,0,0,0,0,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,1,1,0,1,0,0,1,"{'npc_miller': 12, 'npc_baker': 3}"
logs\sessions\20260916\173421,False,,CO5,SUB,3c435fd,True,1,1,True,True,54.125,57.921,idle,12,23.73,2,0,2,15,0,3,2,8,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,1,1,0,1,0,0,1,"{'npc_miller': 12, 'npc_baker': 3}"
logs\sessions\20260916\173521,False,,CO5,ATOM,3c435fd,False,1,1,True,False,98.927,102.302,idle,32,71.189,4,2,4,23,4,17,0,0,,True,,action_failures,0,2,2,0,1,3,0,1,"{'npc_miller': 20, 'npc_baker': 3}"
logs\sessions\20260916\173707,False,,CO6,SUB,3c435fd,True,1,1,True,True,65.837,69.667,idle,16,29.426,3,0,2,19,0,7,2,6,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,2,2,0,2,0,1,2,"{'npc_miller': 14, 'npc_baker': 5}"
logs\sessions\20260916\173819,False,,CO6,ATOM,3c435fd,False,1,1,True,False,111.219,115.204,idle,30,72.486,4,1,8,30,4,17,0,0,,True,,action_failures,0,4,4,0,2,0,2,2,"{'npc_miller': 22, 'npc_baker': 8}"
logs\sessions\20260916\174017,False,,CO6,DET,3c435fd,True,1,1,True,True,37.864,41.343,idle,1,4.333,0,0,0,19,0,0,0,0,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,2,2,0,2,0,1,2,"{'npc_miller': 14, 'npc_baker': 5}"
logs\sessions\20260916\174102,False,,CO5,SUB,3c435fd,True,1,1,True,True,57.182,60.625,idle,12,23.736,2,0,2,15,0,3,2,8,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,1,1,0,1,0,0,1,"{'npc_miller': 12, 'npc_baker': 3}"
logs\sessions\20260916\174204,False,,CO5,ATOM,3c435fd,False,1,1,True,False,90.167,93.886,idle,23,58.153,3,1,4,23,4,14,0,0,,True,,action_failures,0,2,2,0,1,0,0,1,"{'npc_miller': 20, 'npc_baker': 3}"
logs\sessions\20260916\174340,False,,CO5,DET,3c435fd,True,1,1,True,True,35.093,39.391,idle,1,4.228,0,0,0,15,0,0,0,0,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,1,1,0,1,0,0,1,"{'npc_miller': 12, 'npc_baker': 3}"
logs\sessions\20260916\174421,False,,CO6,ATOM,3c435fd,False,1,1,True,False,111.854,115.217,idle,30,73.96,4,1,8,30,4,17,0,0,,True,,action_failures,0,4,4,0,2,0,2,2,"{'npc_miller': 22, 'npc_baker': 8}"
logs\sessions\20260916\174620,False,,CO6,DET,3c435fd,True,1,1,True,True,37.852,40.994,idle,1,4.394,0,0,0,19,0,0,0,0,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,2,2,0,2,0,1,2,"{'npc_miller': 14, 'npc_baker': 5}"
logs\sessions\20260916\174704,False,,CO6,SUB,3c435fd,True,1,1,True,True,64.191,68.231,idle,15,28.039,3,0,2,19,0,7,2,6,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,2,2,0,2,0,1,2,"{'npc_miller': 14, 'npc_baker': 5}"
logs\sessions\20260916\174816,False,,CO5,ATOM,3c435fd,False,1,1,True,False,116.204,120.073,idle,38,89.064,5,3,4,29,7,22,0,0,,True,,action_failures,0,2,2,0,1,3,0,1,"{'npc_miller': 20, 'npc_baker': 9}"
logs\sessions\20260916\175020,False,,CO5,DET,3c435fd,True,1,1,True,True,35.107,39.479,idle,1,4.225,0,0,0,15,0,0,0,0,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,1,1,0,1,0,0,1,"{'npc_miller': 12, 'npc_baker': 3}"
