experiment_id,config_label,n,successes,success_rate,success_ci_low,success_ci_high,first_plan_successes,goals_met,goals_expected,llm_calls_median,llm_calls_q1,llm_calls_q3,llm_s_median,llm_s_q1,llm_s_q3,n_act_median,n_act_q1,n_act_q3,replans_median,replans_q1,replans_q3,duration_s_median,duration_s_q1,duration_s_q3,t_success_median,t_success_q1,t_success_q3,causes,end_reasons,manipulation_bad,manipulation_unknown,plan_calls_to_ablated,peer_requests_sent_median,peer_requests_sent_q1,peer_requests_sent_q3,peer_transfers_median,peer_transfers_q1,peer_transfers_q3,sessions_with_transfer,peer_requests_refused,peer_wait_timeouts,arbitrations,max_peer_depth,shas
A1,ATOM,16,15,0.938,0.717,0.989,13,15,16,5.0,5.0,5.0,12.989,12.869,13.041,4.0,4.0,4.0,0.0,0.0,0.0,30.603,30.485,31.871,26.599,26.372,27.411,"{""failed_after_replans:ladder_stuck"": 1}","{""idle"": 16}",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a398488
A1,SUB,16,16,1.0,0.806,1.0,16,16,16,3.0,3.0,3.0,8.926,8.867,8.973,4.0,4.0,4.0,0.0,0.0,0.0,27.338,25.869,27.425,22.892,22.561,23.501,{},"{""idle"": 16}",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a398488
A2,ATOM,16,16,1.0,0.806,1.0,15,16,16,5.0,5.0,5.0,12.896,12.867,12.975,8.0,8.0,8.0,0.0,0.0,0.0,32.742,32.002,34.198,28.993,28.182,30.309,{},"{""idle"": 16}",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a398488
A2,SUB,16,16,1.0,0.806,1.0,16,16,16,3.0,3.0,3.0,8.88,8.839,8.928,8.0,8.0,8.0,0.0,0.0,0.0,28.883,28.117,28.977,24.501,23.956,25.501,{},"{""idle"": 16}",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a398488
A3,ATOM,16,10,0.625,0.386,0.815,5,10,16,19.0,7.0,25.0,43.776,16.521,55.668,24.5,14.0,31.0,2.0,0.0,3.0,79.651,47.066,87.296,50.249,41.951,75.323,"{""failed_after_replans:ladder_stuck"": 6}","{""idle"": 16}",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a398488
A3,SUB,16,16,1.0,0.806,1.0,16,16,16,5.0,5.0,5.0,12.155,12.097,12.206,11.0,11.0,11.0,0.0,0.0,0.0,41.849,40.468,42.733,38.14,36.754,39.336,{},"{""idle"": 16}",0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a398488
A4,ATOM,16,16,1.0,0.806,1.0,16,32,32,11.0,11.0,11.0,28.058,27.919,28.276,10.0,10.0,10.0,0.0,0.0,0.0,57.023,56.129,58.496,52.868,52.391,54.552,{},"{""idle"": 16}",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a398488
A4,SUB,16,16,1.0,0.806,1.0,16,32,32,7.0,7.0,7.0,20.078,19.955,20.125,10.0,10.0,10.0,0.0,0.0,0.0,50.004,48.577,50.096,45.747,45.133,46.546,{},"{""idle"": 16}",0,0,72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a398488
A5,ATOM,16,11,0.688,0.444,0.858,1,11,16,19.0,19.0,25.0,46.208,41.449,56.326,51.0,46.5,54.5,2.0,2.0,3.0,120.019,105.234,129.382,119.629,102.376,130.581,"{""failed_after_replans:ladder_stuck"": 4, ""failed_after_replans:action_failed:InvalidArgs"": 1}","{""idle"": 16}",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a398488
A5,SUB,16,16,1.0,0.806,1.0,0,16,16,9.0,9.0,9.0,22.396,22.297,22.46,34.0,34.0,65.0,1.0,1.0,1.0,93.862,92.276,99.142,89.891,88.556,95.898,{},"{""idle"": 16}",0,0,64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a398488
