session_dir,infra_error,missing_npcs,experiment_id,config_label,git_sha,builtin_subplans,goals_expected,goals_met,success,first_plan_success,t_success,duration_s,end_reason,llm_calls,llm_s,plan_requests,replans,ladder_advance,n_act,actions_failed,transforms_code,transforms_llm,plan_calls_to_ablated,ablated_loaded,manipulation_ok,primary_cause,signals,subplans_loaded,peer_requests_sent,peer_requests_accepted,peer_requests_refused,peer_transfers,peer_wait_timeouts,arbitrations,max_peer_depth,n_act_by_npc
logs\sessions\20260916\020808,False,,A1,SUB,a398488,True,1,1,True,True,22.681,26.005,idle,3,8.941,1,0,0,4,0,0,0,1,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 4}
logs\sessions\20260916\020844,False,,A1,ATOM,a398488,False,1,1,True,True,26.393,30.564,idle,5,13.018,1,0,1,4,0,1,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 4}
logs\sessions\20260916\020923,False,,A2,SUB,a398488,True,1,1,True,True,27.168,30.49,idle,3,8.991,1,0,0,8,0,0,0,1,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 8}
logs\sessions\20260916\021001,False,,A2,ATOM,a398488,False,1,1,True,True,27.243,30.543,idle,5,13.004,1,0,3,8,0,1,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 8}
logs\sessions\20260916\021042,False,,A3,SUB,a398488,True,1,1,True,True,36.746,41.102,idle,5,12.108,1,0,0,11,1,2,0,3,craft_item;move_to_and_pickup,True,,action_failures,0,0,0,0,0,0,0,0,{'npc_001': 11}
logs\sessions\20260916\021133,False,,A3,ATOM,a398488,False,1,1,True,False,56.572,60.864,idle,13,30.556,2,1,9,18,0,5,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 18}
logs\sessions\20260916\021243,False,,A4,SUB,a398488,True,2,2,True,True,45.156,48.903,idle,7,20.132,2,0,0,10,0,1,0,5,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 10}
logs\sessions\20260916\021340,False,,A4,ATOM,a398488,False,2,2,True,True,53.561,57.889,idle,11,27.721,2,0,4,10,0,3,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 10}
logs\sessions\20260916\021448,False,,A5,SUB,a398488,True,1,1,True,False,87.777,90.827,idle,9,22.306,2,1,0,36,4,3,0,4,craft_item;move_to_and_pickup,True,,action_failures,0,0,0,0,0,0,0,0,{'npc_001': 36}
logs\sessions\20260916\021626,False,,A5,ATOM,a398488,False,1,1,True,False,131.21,135.01,idle,25,58.606,4,3,22,51,3,9,0,0,,True,,action_failures,0,0,0,0,0,0,0,0,{'npc_001': 51}
logs\sessions\20260916\021852,False,,A1,ATOM,a398488,False,1,1,True,True,26.401,30.598,idle,5,12.873,1,0,1,4,0,1,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 4}
logs\sessions\20260916\021931,False,,A1,SUB,a398488,True,1,1,True,True,23.645,27.78,idle,3,8.972,1,0,0,4,0,0,0,1,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 4}
logs\sessions\20260916\022007,False,,A2,ATOM,a398488,False,1,1,True,True,29.193,33.476,idle,5,12.943,1,0,3,8,0,1,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 8}
logs\sessions\20260916\022050,False,,A2,SUB,a398488,True,1,1,True,True,24.585,29.027,idle,3,8.864,1,0,0,8,0,0,0,1,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 8}
logs\sessions\20260916\022129,False,,A3,ATOM,a398488,False,1,0,False,False,,80.555,idle,25,53.933,4,3,16,32,0,12,0,0,,True,failed_after_replans:ladder_stuck,failed_after_replans:ladder_stuck,0,0,0,0,0,0,0,0,{'npc_001': 32}
logs\sessions\20260916\022301,False,,A3,SUB,a398488,True,1,1,True,True,39.34,42.612,idle,5,12.21,1,0,0,11,1,2,0,3,craft_item;move_to_and_pickup,True,,action_failures,0,0,0,0,0,0,0,0,{'npc_001': 11}
logs\sessions\20260916\022351,False,,A4,ATOM,a398488,False,2,2,True,True,52.373,56.441,idle,11,28.334,2,0,3,10,0,3,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 10}
logs\sessions\20260916\022459,False,,A4,SUB,a398488,True,2,2,True,True,45.169,48.819,idle,7,20.019,2,0,0,10,0,2,0,4,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 10}
logs\sessions\20260916\022556,False,,A5,ATOM,a398488,False,1,1,True,False,130.581,134.597,idle,19,45.988,3,2,27,56,0,8,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 56}
logs\sessions\20260916\022822,False,,A5,SUB,a398488,True,1,1,True,False,117.773,121.332,idle,9,22.533,2,1,0,166,4,3,0,4,craft_item;move_to_and_pickup,True,,action_failures,0,0,0,0,0,0,0,0,{'npc_001': 166}
logs\sessions\20260916\023033,False,,A1,SUB,a398488,True,1,1,True,True,23.579,27.477,idle,3,9.065,1,0,0,4,0,0,0,1,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 4}
logs\sessions\20260916\023108,False,,A1,ATOM,a398488,False,1,1,True,True,27.411,30.608,idle,5,13.063,1,0,1,4,0,1,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 4}
logs\sessions\20260916\023147,False,,A2,SUB,a398488,True,1,1,True,True,22.798,25.952,idle,3,8.828,1,0,0,8,0,0,0,1,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 8}
logs\sessions\20260916\023222,False,,A2,ATOM,a398488,False,1,1,True,False,36.256,39.537,idle,9,19.197,2,1,7,12,0,2,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 12}
logs\sessions\20260916\023312,False,,A3,SUB,a398488,True,1,1,True,True,40.938,44.098,idle,5,12.086,1,0,0,11,1,2,0,3,craft_item;move_to_and_pickup,True,,action_failures,0,0,0,0,0,0,0,0,{'npc_001': 11}
logs\sessions\20260916\023406,False,,A3,ATOM,a398488,False,1,1,True,True,41.951,45.635,idle,7,16.022,1,0,7,14,0,3,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 14}
logs\sessions\20260916\023459,False,,A4,SUB,a398488,True,2,2,True,True,45.751,50.135,idle,7,20.182,2,0,0,10,0,1,0,5,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 10}
logs\sessions\20260916\023601,False,,A4,ATOM,a398488,False,2,2,True,True,55.969,59.149,idle,11,27.93,2,0,4,10,0,3,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 10}
logs\sessions\20260916\023710,False,,A5,SUB,a398488,True,1,1,True,False,90.789,93.873,idle,9,22.397,2,1,0,34,4,3,0,4,craft_item;move_to_and_pickup,True,,action_failures,0,0,0,0,0,0,0,0,{'npc_001': 34}
logs\sessions\20260916\023853,False,,A5,ATOM,a398488,False,1,1,True,False,102.376,106.021,idle,13,31.293,2,1,23,50,2,8,0,0,,True,,action_failures,0,0,0,0,0,0,0,0,{'npc_001': 50}
logs\sessions\20260916\024047,False,,A1,ATOM,a398488,False,1,1,True,True,26.409,30.641,idle,5,12.866,1,0,1,4,0,1,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 4}
logs\sessions\20260916\024128,False,,A1,SUB,a398488,True,1,1,True,True,22.556,25.854,idle,3,8.964,1,0,0,4,0,0,0,1,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 4}
logs\sessions\20260916\024204,False,,A2,ATOM,a398488,False,1,1,True,True,28.404,32.121,idle,5,12.881,1,0,3,8,0,1,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 8}
logs\sessions\20260916\024245,False,,A2,SUB,a398488,True,1,1,True,True,26.01,30.436,idle,3,8.977,1,0,0,8,0,0,0,1,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 8}
logs\sessions\20260916\024326,False,,A3,ATOM,a398488,False,1,0,False,False,,86.373,idle,25,55.727,4,3,13,28,3,10,0,0,,True,failed_after_replans:ladder_stuck,failed_after_replans:ladder_stuck;action_failures,0,0,0,0,0,0,0,0,{'npc_001': 28}
logs\sessions\20260916\024502,False,,A3,SUB,a398488,True,1,1,True,True,37.506,41.103,idle,5,12.115,1,0,0,11,1,2,0,3,craft_item;move_to_and_pickup,True,,action_failures,0,0,0,0,0,0,0,0,{'npc_001': 11}
logs\sessions\20260916\024555,False,,A4,ATOM,a398488,False,2,2,True,True,52.408,56.407,idle,11,27.973,2,0,4,10,0,3,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 10}
logs\sessions\20260916\024700,False,,A4,SUB,a398488,True,2,2,True,True,46.537,50.094,idle,7,19.96,2,0,0,10,0,1,0,5,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 10}
logs\sessions\20260916\024802,False,,A5,ATOM,a398488,False,1,0,False,False,,113.832,idle,25,51.139,4,3,30,53,2,13,0,0,,True,failed_after_replans:ladder_stuck,failed_after_replans:ladder_stuck;action_failures,0,0,0,0,0,0,0,0,{'npc_001': 53}
logs\sessions\20260916\025007,False,,A5,SUB,a398488,True,1,1,True,False,158.052,161.635,idle,9,22.343,2,1,0,386,4,3,0,4,craft_item;move_to_and_pickup,True,,action_failures,0,0,0,0,0,0,0,0,{'npc_001': 386}
logs\sessions\20260916\025300,False,,A1,SUB,a398488,True,1,1,True,True,22.193,25.843,idle,3,9.001,1,0,0,4,0,0,0,1,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 4}
logs\sessions\20260916\025335,False,,A1,ATOM,a398488,False,1,1,True,True,27.197,30.524,idle,5,12.992,1,0,1,4,0,1,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 4}
logs\sessions\20260916\025414,False,,A2,SUB,a398488,True,1,1,True,True,24.362,28.871,idle,3,8.937,1,0,0,8,0,0,0,1,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 8}
logs\sessions\20260916\025453,False,,A2,ATOM,a398488,False,1,1,True,True,31.047,35.144,idle,5,12.89,1,0,3,8,0,1,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 8}
logs\sessions\20260916\025539,False,,A3,SUB,a398488,True,1,1,True,True,38.763,42.569,idle,6,12.704,1,0,1,10,0,0,1,3,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 10}
logs\sessions\20260916\025630,False,,A3,ATOM,a398488,False,1,1,True,False,96.439,100.25,idle,25,54.396,4,3,12,32,3,8,0,0,,True,,action_failures,0,0,0,0,0,0,0,0,{'npc_001': 32}
logs\sessions\20260916\025820,False,,A4,SUB,a398488,True,2,2,True,True,44.737,48.591,idle,7,20.054,2,0,0,10,0,1,0,5,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 10}
logs\sessions\20260916\025916,False,,A4,ATOM,a398488,False,2,2,True,True,52.154,56.073,idle,11,28.079,2,0,4,10,0,4,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 10}
logs\sessions\20260916\030024,False,,A5,SUB,a398488,True,1,1,True,False,85.362,89.542,idle,9,22.476,2,1,0,34,4,3,0,4,craft_item;move_to_and_pickup,True,,action_failures,0,0,0,0,0,0,0,0,{'npc_001': 34}
logs\sessions\20260916\030203,False,,A5,ATOM,a398488,False,1,1,True,False,109.577,113.527,idle,19,41.888,3,2,25,48,0,11,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 48}
logs\sessions\20260916\030408,False,,A1,ATOM,a398488,False,1,1,True,False,33.379,37.906,idle,9,19.318,2,1,5,8,0,2,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 8}
logs\sessions\20260916\030455,False,,A1,SUB,a398488,True,1,1,True,True,23.598,27.426,idle,3,8.85,1,0,0,4,0,0,0,1,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 4}
logs\sessions\20260916\030531,False,,A2,ATOM,a398488,False,1,1,True,True,29.012,32.095,idle,5,12.846,1,0,3,8,0,1,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 8}
logs\sessions\20260916\030615,False,,A2,SUB,a398488,True,1,1,True,True,24.417,28.911,idle,3,8.864,1,0,0,8,0,0,0,1,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 8}
logs\sessions\20260916\030653,False,,A3,ATOM,a398488,False,1,1,True,True,40.927,45.479,idle,7,16.522,1,0,6,14,0,4,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 14}
logs\sessions\20260916\030747,False,,A3,SUB,a398488,True,1,1,True,True,35.757,39.617,idle,5,12.157,1,0,0,11,1,2,0,3,craft_item;move_to_and_pickup,True,,action_failures,0,0,0,0,0,0,0,0,{'npc_001': 11}
logs\sessions\20260916\030837,False,,A4,ATOM,a398488,False,2,2,True,True,50.434,54.403,idle,11,28.332,2,0,4,8,0,3,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 8}
logs\sessions\20260916\030939,False,,A4,SUB,a398488,True,2,2,True,True,46.543,50.132,idle,7,20.102,2,0,0,10,0,2,0,4,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 10}
logs\sessions\20260916\031041,False,,A5,ATOM,a398488,False,1,0,False,False,,127.253,idle,25,56.507,4,3,22,54,6,10,0,0,,True,failed_after_replans:action_failed:InvalidArgs,failed_after_replans:action_failed:InvalidArgs;action_failures,0,0,0,0,0,0,0,0,{'npc_001': 54}
logs\sessions\20260916\031258,False,,A5,SUB,a398488,True,1,1,True,False,89.553,93.962,idle,9,22.471,2,1,0,34,4,3,0,4,craft_item;move_to_and_pickup,True,,action_failures,0,0,0,0,0,0,0,0,{'npc_001': 34}
logs\sessions\20260916\031440,False,,A1,SUB,a398488,True,1,1,True,True,22.843,27.377,idle,3,8.911,1,0,0,4,0,0,0,1,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 4}
logs\sessions\20260916\031517,False,,A1,ATOM,a398488,False,1,1,True,True,27.406,31.91,idle,5,12.885,1,0,1,4,0,1,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 4}
logs\sessions\20260916\031559,False,,A2,SUB,a398488,True,1,1,True,True,25.956,30.411,idle,3,8.836,1,0,0,8,0,0,0,1,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 8}
logs\sessions\20260916\031637,False,,A2,ATOM,a398488,False,1,1,True,True,28.168,31.866,idle,5,12.838,1,0,3,8,0,1,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 8}
logs\sessions\20260916\031721,False,,A3,SUB,a398488,True,1,1,True,True,36.761,39.912,idle,6,12.645,1,0,1,10,0,0,1,3,craft_item;move_to_and_pickup,True,,,0,0,0,0,0,0,0,0,{'npc_001': 10}
logs\sessions\20260916\031809,False,,A3,ATOM,a398488,False,1,1,True,False,82.588,86.662,idle,19,43.589,3,2,11,24,0,8,0,0,,True,,,0,0,0,0,0,0,0,0,{'npc_001': 24}
